phase,stufe,topology,attacker_name,defender_algo,run_id,episode,agent,env_id,algorithm,timestep,episode_reward,episode_length,atk_invalid,atk_valid,atk_cj_reached,atk_cj_step,atk_won,atk_max_owned,atk_hold_reward,atk_eviction,def_reimage,def_block,def_allow,def_stop_svc,def_stop_svc_clean,def_start_svc,def_invalid,def_recovered,def_sla_break_steps
evaluation,keiner,dmz,dmz,None,eval_keiner_dmz_dmz_seed0,3,attacker,CyberBattleDMZ-thesis-v0,MaskablePPO,89,5354.5501,35,0,35,1,27,1,10,16.549999999999997,0.0,,,,,,,,,
evaluation,keiner,dmz,dmz,None,eval_keiner_dmz_dmz_seed0,4,attacker,CyberBattleDMZ-thesis-v0,MaskablePPO,112,5325.8498,23,0,23,1,18,1,10,7.8500000000000005,0.0,,,,,,,,,
evaluation,keiner,dmz,dmz,None,eval_keiner_dmz_dmz_seed0,5,attacker,CyberBattleDMZ-thesis-v0,MaskablePPO,142,5346.125,30,0,30,1,20,1,10,13.125,0.0,,,,,,,,,
evaluation,keiner,dmz,dmz,None,eval_keiner_dmz_dmz_seed0,6,attacker,CyberBattleDMZ-thesis-v0,MaskablePPO,175,5347.1998,33,0,33,1,10,1,10,23.200000000000006,0.0,,,,,,,,,
evaluation,keiner,dmz,dmz,None,eval_keiner_dmz_dmz_seed0,7,attacker,CyberBattleDMZ-thesis-v0,MaskablePPO,204,5263.2998,29,0,29,1,29,1,10,10.300000000000002,0.0,,,,,,,,,
evaluation,keiner,dmz,dmz,None,eval_keiner_dmz_dmz_seed0,8,attacker,CyberBattleDMZ-thesis-v0,MaskablePPO,230,5346.075,26,0,26,1,18,1,10,13.075,0.0,,,,,,,,,
evaluation,keiner,dmz,dmz,None,eval_keiner_dmz_dmz_seed0,9,attacker,CyberBattleDMZ-thesis-v0,MaskablePPO,256,5337.2501,26,0,26,1,22,1,10,9.249999999999998,0.0,,,,,,,,,
evaluation,keiner,dmz,dmz,None,eval_keiner_dmz_dmz_seed0,10,attacker,CyberBattleDMZ-thesis-v0,MaskablePPO,283,5346.6,27,0,27,1,13,1,10,13.6,0.0,,,,,,,,,
evaluation,keiner,dmz,dmz,None,eval_keiner_dmz_dmz_seed0,11,attacker,CyberBattleDMZ-thesis-v0,MaskablePPO,311,5338.4252,28,0,28,1,16,1,10,15.424999999999999,0.0,,,,,,,,,
evaluation,keiner,dmz,dmz,None,eval_keiner_dmz_dmz_seed0,12,attacker,CyberBattleDMZ-thesis-v0,MaskablePPO,341,5335.8748,30,0,30,1,14,1,10,17.875000000000007,0.0,,,,,,,,,
evaluation,keiner,dmz,dmz,None,eval_keiner_dmz_dmz_seed0,13,attacker,CyberBattleDMZ-thesis-v0,MaskablePPO,380,5356.8502,39,0,39,1,12,1,10,27.849999999999994,0.0,,,,,,,,,
evaluation,keiner,dmz,dmz,None,eval_keiner_dmz_dmz_seed0,14,attacker,CyberBattleDMZ-thesis-v0,MaskablePPO,403,5343.8,23,0,23,1,16,1,10,10.8,0.0,,,,,,,,,
evaluation,keiner,dmz,dmz,None,eval_keiner_dmz_dmz_seed0,15,attacker,CyberBattleDMZ-thesis-v0,MaskablePPO,427,5351.65,24,0,24,1,16,1,10,12.65,0.0,,,,,,,,,
evaluation,keiner,dmz,dmz,None,eval_keiner_dmz_dmz_seed0,16,attacker,CyberBattleDMZ-thesis-v0,MaskablePPO,453,5345.1,26,0,26,1,16,1,10,12.1,0.0,,,,,,,,,
evaluation,keiner,dmz,dmz,None,eval_keiner_dmz_dmz_seed0,17,attacker,CyberBattleDMZ-thesis-v0,MaskablePPO,473,5339.225,20,0,20,1,18,1,10,6.225,0.0,,,,,,,,,
