phase,stufe,topology,attacker_name,defender_algo,run_id,episode,agent,env_id,algorithm,timestep,episode_reward,episode_length,atk_invalid,atk_valid,atk_cj_reached,atk_cj_step,atk_won,atk_max_owned,atk_hold_reward,atk_eviction,def_reimage,def_block,def_allow,def_stop_svc,def_stop_svc_clean,def_start_svc,def_invalid,def_recovered,def_sla_break_steps
evaluation,keiner,dmz,chain,None,eval_keiner_dmz_chain_seed1,14,attacker,CyberBattleDMZ-thesis-v0,MaskablePPO,28000,114.01,2000,0,2000,0,-1,0,2,29.01000000000072,0.0,,,,,,,,,
evaluation,keiner,dmz,chain,None,eval_keiner_dmz_chain_seed1,15,attacker,CyberBattleDMZ-thesis-v0,MaskablePPO,30000,83.37,2000,0,2000,0,-1,0,2,26.37000000000062,0.0,,,,,,,,,
evaluation,keiner,dmz,chain,None,eval_keiner_dmz_chain_seed1,16,attacker,CyberBattleDMZ-thesis-v0,MaskablePPO,32000,373.695,2000,0,2000,1,478,0,3,176.69500000000136,0.0,,,,,,,,,
evaluation,keiner,dmz,chain,None,eval_keiner_dmz_chain_seed1,17,attacker,CyberBattleDMZ-thesis-v0,MaskablePPO,34000,90.28,2000,0,2000,0,-1,0,2,29.28000000000073,0.0,,,,,,,,,
evaluation,keiner,dmz,chain,None,eval_keiner_dmz_chain_seed1,18,attacker,CyberBattleDMZ-thesis-v0,MaskablePPO,36000,130.945,2000,0,2000,0,-1,0,3,36.94500000000056,0.0,,,,,,,,,
evaluation,keiner,dmz,chain,None,eval_keiner_dmz_chain_seed1,19,attacker,CyberBattleDMZ-thesis-v0,MaskablePPO,38000,383.19,2000,0,2000,1,376,0,3,192.19000000000256,0.0,,,,,,,,,
evaluation,keiner,dmz,chain,None,eval_keiner_dmz_chain_seed1,20,attacker,CyberBattleDMZ-thesis-v0,MaskablePPO,40000,89.68,2000,0,2000,0,-1,0,2,28.680000000000707,0.0,,,,,,,,,
evaluation,keiner,dmz,chain,None,eval_keiner_dmz_chain_seed1,21,attacker,CyberBattleDMZ-thesis-v0,MaskablePPO,42000,306.74,2000,0,2000,0,-1,0,5,45.739999999999576,0.0,,,,,,,,,
evaluation,keiner,dmz,chain,None,eval_keiner_dmz_chain_seed1,22,attacker,CyberBattleDMZ-thesis-v0,MaskablePPO,44000,78.325,2000,0,2000,0,-1,0,2,11.32500000000005,0.0,,,,,,,,,
evaluation,keiner,dmz,chain,None,eval_keiner_dmz_chain_seed1,23,attacker,CyberBattleDMZ-thesis-v0,MaskablePPO,46000,113.465,2000,0,2000,0,-1,0,2,24.465000000000547,0.0,,,,,,,,,
evaluation,keiner,dmz,chain,None,eval_keiner_dmz_chain_seed1,24,attacker,CyberBattleDMZ-thesis-v0,MaskablePPO,48000,114.785,2000,0,2000,0,-1,0,2,19.78500000000037,0.0,,,,,,,,,
